제목,내용,블로거,작성일,링크,분류,신뢰도,신뢰등급,협찬표기,내돈내산표기,과장수,과장의심,긍정수,부정수,긍정점수,단점있음,감정의심,시간의심,블로거의심,블로거리뷰수,구조의심,홍보수
강남역 파스타 솔직후기,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방16,20250415,https://blog.naver.com/test/0,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,6,False,0
직접 가본 후기,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방6,20250508,https://blog.naver.com/test/1,일반 리뷰,80,신뢰,False,False,0,False,0,0,0.5,False,False,False,True,5,False,0
완전 대박 무조건 가세요,업체로부터 제공받아 방문했습니다 음식도 맛있고 서비스도 훌륭하고 완전 만족,강남맛왕,20250402,https://blog.naver.com/test/2,정당한 협찬,20,의심,True,False,4,True,4,0,1.0,False,True,False,True,14,False,0
점심특선 추천,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방27,20250415,https://blog.naver.com/test/3,뒷광고 의심,65,주의,False,False,1,False,1,0,1.0,False,True,False,True,7,False,0
분위기 카페같은 식당,파스타 맛있었는데 리조또는 좀 짜다 서비스는 보통,맛집탐방11,20250428,https://blog.naver.com/test/4,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,9,False,0
재방문 의사 없음,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방7,20250406,https://blog.naver.com/test/5,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,6,False,0
내돈내산 진짜 맛있어요 최고 대박 강추,내돈내산 직접 가봤는데 진짜 최고 대박 완전 추천 인생맛집이에요 강추,맛집헌터,20250430,https://blog.naver.com/test/6,내돈내산 위장,25,의심,False,True,11,True,5,0,1.0,False,True,True,True,12,False,0
오랜만에 맛집발견,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방36,20250419,https://blog.naver.com/test/7,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,4,False,0
점심특선 추천,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방3,20250415,https://blog.naver.com/test/8,일반 리뷰,75,신뢰,False,False,1,False,2,0,1.0,False,True,False,False,1,False,0
혼밥하기 좋은곳,스테이크 맛있었어요 근데 웨이팅 너무 길어서 다음엔 예약,맛집탐방7,20250425,https://blog.naver.com/test/9,뒷광고 의심,65,주의,False,False,0,False,2,0,1.0,False,True,False,True,6,False,1
혼밥하기 좋은곳,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방11,20250424,https://blog.naver.com/test/10,일반 리뷰,90,신뢰,False,False,0,False,2,1,0.6666666666666666,True,False,False,True,9,False,0
제공받고 방문한 맛집,내돈내산인데 진짜 역대급 완벽 맛집 최고 강추 무조건 가세요,서울푸디,20250405,https://blog.naver.com/test/11,정당한 협찬,20,의심,True,True,6,True,3,0,1.0,False,True,False,True,6,False,0
재방문 의사 없음,분위기 괜찮은데 음식이 기대보다 별로 아쉽,맛집탐방30,20250425,https://blog.naver.com/test/12,일반 리뷰,90,신뢰,False,False,0,False,0,2,0.0,True,False,False,True,7,False,0
직접 가본 후기,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방15,20250421,https://blog.naver.com/test/13,일반 리뷰,80,신뢰,False,False,0,False,0,0,0.5,False,False,False,True,4,False,0
강남역 파스타 솔직후기,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방26,20250418,https://blog.naver.com/test/14,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,5,False,0
앰배서더 활동 후기,내돈내산인데 진짜 역대급 완벽 맛집 최고 강추 무조건 가세요,강남맛왕,20250502,https://blog.naver.com/test/15,정당한 협찬,20,의심,True,True,6,True,3,0,1.0,False,True,False,True,14,False,0
직접 가본 후기,재방문 의사 있어요 근데 주차가 불편해서 대중교통 추천,맛집탐방10,20250417,https://blog.naver.com/test/16,일반 리뷰,75,신뢰,False,False,1,False,1,0,1.0,False,True,False,False,2,False,1
웨이팅 길지만 갈만함,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방17,20250508,https://blog.naver.com/test/17,일반 리뷰,80,신뢰,False,False,0,False,0,0,0.5,False,False,False,True,3,False,0
오랜만에 맛집발견,음식은 맛있는데 양이 적다 가격대비 아쉬운편,맛집탐방15,20250409,https://blog.naver.com/test/18,일반 리뷰,90,신뢰,False,False,0,False,1,1,0.5,True,False,False,True,4,False,0
인생맛집 진짜 최고 강추!!,협찬 받고 솔직하게 쓰는 후기 진짜 최고 맛집이에요 완전 추천,강남맛왕,20250411,https://blog.naver.com/test/19,정당한 협찬,20,의심,True,False,8,True,3,0,1.0,False,True,False,True,14,False,0
오랜만에 맛집발견,친절하고 분위기좋은데 음식이 그저그럭,맛집탐방39,20250430,https://blog.naver.com/test/20,뒷광고 의심,55,주의,False,False,0,False,2,0,1.0,False,True,True,True,3,False,0
혼밥하기 좋은곳,파스타 맛있었는데 리조또는 좀 짜다 서비스는 보통,맛집탐방8,20250505,https://blog.naver.com/test/21,일반 리뷰,90,신뢰,False,False,0,False,2,1,0.6666666666666666,True,False,False,True,7,False,0
가성비 강남맛집,점심특선 가성비 좋아 자주감 저녁은 비싼편,맛집탐방19,20250428,https://blog.naver.com/test/22,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,3,False,0
점심특선 추천,디저트 맛있고 커피도 괜찮았어요 다만 자리 좁아서 불편,맛집탐방33,20250412,https://blog.naver.com/test/23,뒷광고 의심,65,주의,False,False,1,False,2,0,1.0,False,True,False,True,4,False,0
분위기좋은데 음식 보통,메뉴가 다양하고 맛도 괜찮은편 가격은 보통,맛집탐방39,20250413,https://blog.naver.com/test/24,뒷광고 의심,65,주의,False,False,0,False,1,0,1.0,False,True,False,True,3,False,0
